Fips,Area,,1990.00,1991.00,1992.00,1993.00,1994.00,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00
0,United States,,1990.00,1991.00,1992.00,1993.00,1994.00,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00
1000,Alabama,AL,6.80,7.30,7.60,7.30,6.20,6.00,5.20,5.00,4.40,4.70,4.60,5.10,5.90,6.00,5.70,4.50,4.00,4.00,5.70,11.00,10.50,9.60,8.00,7.20,6.80,6.10
2000,Alaska,AK,7.20,8.50,8.90,7.70,7.60,7.30,7.60,7.10,6.30,6.50,6.40,6.40,7.30,7.80,7.50,6.90,6.60,6.30,6.70,7.70,7.90,7.60,7.10,6.90,6.90,6.50
4000,Arizona,AZ,5.30,5.90,7.50,6.40,6.10,5.30,5.60,4.60,4.30,4.40,4.00,4.80,6.10,5.70,5.00,4.70,4.20,3.90,6.20,9.90,10.40,9.50,8.30,7.70,6.80,6.10
5000,Arkansas,AR,6.90,7.40,7.10,6.10,5.40,4.80,5.30,5.20,5.20,4.60,4.30,5.00,5.50,5.90,5.70,5.20,5.20,5.30,5.50,7.80,8.20,8.30,7.60,7.30,6.10,5.20
6000,California,CA,5.80,7.70,9.30,9.50,8.60,7.90,7.30,6.40,5.90,5.20,4.90,5.40,6.70,6.80,6.20,5.40,4.90,5.40,7.30,11.20,12.20,11.70,10.40,8.90,7.50,6.20
8000,Colorado,CO,5.20,5.30,6.00,5.30,4.20,4.00,4.20,3.50,3.60,3.10,2.80,3.80,5.50,6.00,5.50,5.00,4.30,3.70,4.80,7.30,8.70,8.40,7.90,6.80,5.00,3.90
9000,Connecticut,CT,5.10,6.50,7.60,6.60,5.60,5.50,5.50,5.00,3.40,2.90,2.40,3.10,4.30,5.40,5.00,4.90,4.30,4.50,5.70,7.90,9.10,8.80,8.30,7.80,6.60,5.60
10000,Delaware,DE,4.70,6.20,5.40,5.10,4.80,4.30,5.10,4.00,3.70,3.40,3.70,3.50,4.00,4.30,4.00,4.10,3.60,3.40,4.90,8.30,8.40,7.50,7.20,6.70,5.70,4.90
